,address,incidentCount,lat,lng,incidentCummSum,daysWithIncidentPercent
84,"1 MICMAC BD, LETHBRIDGE, AB, Canada",106,49.6861331,-112.884923,0.4896613667634918,0.19272727272727272
85,"1300 23 AV, LETHBRIDGE, AB, Canada",105,49.7245518,-112.8234501,0.49166794068185293,0.20727272727272728
86,"1700 23 ST, LETHBRIDGE, AB, Canada",103,49.7199119,-112.8112381,0.49363629414462623,0.21818181818181817
87,"100 ALGONQUIN RD, LETHBRIDGE, AB, Canada",103,49.6819291,-112.8824147,0.4956046476073995,0.1709090909090909
88,"500 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",102,49.6930843,-112.8101227,0.49755389084237883,0.2
89,"1 MAURETANIA RD, LETHBRIDGE, AB, Canada",102,49.6707998,-112.9090726,0.4995031340773582,0.22545454545454546
90,"900 2 AV, LETHBRIDGE, AB, Canada",101,49.7007354,-112.8230618,0.5014332670845436,0.17454545454545456
91,"1400 ASHGROVE RD, LETHBRIDGE, AB, Canada",101,49.67801250000001,-112.7890276,0.5033634000917291,0.1781818181818182
92,"1100 12B ST, LETHBRIDGE, AB, Canada",98,49.71508,-112.8274727,0.5052362024155328,0.1890909090909091
93,"1200 2 AV, LETHBRIDGE, AB, Canada",98,49.7007355,-112.8230521,0.5071090047393365,0.2581818181818182
94,"200 12B ST, LETHBRIDGE, AB, Canada",95,49.6969565,-112.8261119,0.5089244763797585,0.2581818181818182
95,"2600 SCENIC DR, LETHBRIDGE, AB, Canada",95,49.7274751,-112.830167,0.5107399480201804,0.18181818181818182
96,"2600 BLACKWOLF BD, LETHBRIDGE, AB, Canada",95,49.7384072,-112.8020445,0.5125554196606024,0.17454545454545456
97,"2000 7 AV, LETHBRIDGE, AB, Canada",93,49.6892285,-112.812683,0.5143326708454364,0.18181818181818182
98,"1200 1 AV, LETHBRIDGE, AB, Canada",92,49.6980888,-112.8286927,0.5160908118024767,0.1890909090909091
100,"1 AQUITANIA BD, LETHBRIDGE, AB, Canada",89,49.67377219999999,-112.9028404,0.5194924323497936,0.20363636363636364
99,"400 SCENIC DR, LETHBRIDGE, AB, Canada",89,49.694253,-112.845172,0.5177916220761352,0.1781818181818182
101,"1 COUGAR CV, LETHBRIDGE, AB, Canada",88,49.7334866,-112.8222595,0.5211741323956581,0.19272727272727272
102,"1 JERRY POTTS BD, LETHBRIDGE, AB, Canada",88,49.6789339,-112.885542,0.5228558324415227,0.17454545454545456
103,"1000 27A ST, LETHBRIDGE, AB, Canada",87,49.7140195,-112.8024717,0.5245184222595933,0.15636363636363637
104,"2200 32 ST, LETHBRIDGE, AB, Canada",86,49.670554,-112.7945013,0.52616190184987,0.19636363636363635
105,"200 SCENIC DR, LETHBRIDGE, AB, Canada",85,49.6985647,-112.8456248,0.5277862712123529,0.16727272727272727
106,"3000 COLLEGE DR, LETHBRIDGE, AB, Canada",84,49.66303809999999,-112.8089891,0.5293915303470418,0.18545454545454546
107,"400 8 ST, LETHBRIDGE, AB, Canada",83,49.6940924,-112.8356618,0.5309776792539367,0.22545454545454546
108,"200 BRITANNIA BD, LETHBRIDGE, AB, Canada",83,49.67328990000001,-112.9097205,0.5325638281608317,0.1890909090909091
109,"1 PURDUE CT, LETHBRIDGE, AB, Canada",82,49.6749806,-112.8909804,0.5341308668399327,0.16
110,"600 13 ST, LETHBRIDGE, AB, Canada",82,49.6914351,-112.8244255,0.5356979055190337,0.16363636363636364
111,"300 SCENIC DR, LETHBRIDGE, AB, Canada",82,49.6952639,-112.8451089,0.5372649441981349,0.13818181818181818
112,"1700 ST EDWARD BD, LETHBRIDGE, AB, Canada",81,49.7208678,-112.8292556,0.538812872649442,0.16727272727272727
113,"100 IROQUOIS CR, LETHBRIDGE, AB, Canada",81,49.6854216,-112.8896481,0.5403608011007491,0.18181818181818182
114,"4400 UNIVERSITY DR, LETHBRIDGE, AB, Canada",81,49.6708671,-112.8674331,0.5419087295520563,0.2
115,"1 SIMON FRASER BD, LETHBRIDGE, AB, Canada",81,49.6666828,-112.8826493,0.5434566580033634,0.16
116,"1200 9 AV, LETHBRIDGE, AB, Canada",80,49.6863803,-112.8282647,0.5449854762268767,0.16
117,"1000 12 ST, LETHBRIDGE, AB, Canada",79,49.6836292,-112.82823,0.5464951842225959,0.15636363636363637
118,"200 SUNRIDGE RD, LETHBRIDGE, AB, Canada",79,49.6523232,-112.8698241,0.5480048922183153,0.15272727272727274
119,"700 2A AV, LETHBRIDGE, AB, Canada",78,49.7017274,-112.831368,0.5494954899862406,0.11636363636363636
120,"100 JERRY POTTS BD, LETHBRIDGE, AB, Canada",77,49.6809555,-112.8883998,0.5509669775263721,0.1709090909090909
121,"400 HIGHLANDS BD, LETHBRIDGE, AB, Canada",77,49.694434,-112.896108,0.5524384650665036,0.1890909090909091
122,"700 12B ST, LETHBRIDGE, AB, Canada",77,49.7093271,-112.8269188,0.5539099526066351,0.17454545454545456
123,"100 LAVAL BD, LETHBRIDGE, AB, Canada",76,49.6652969,-112.8727234,0.5553623299189726,0.16
124,"300 UNIVERSITY DR, LETHBRIDGE, AB, Canada",76,49.70198329999999,-112.8931724,0.5568147072313102,0.2
