address,incidentCount,lat,lng
"1 MT RUNDLE BD, LETHBRIDGE, AB, Canada",75,49.6583492,-112.8719545
"1 MT RUNDLE RD, LETHBRIDGE, AB, Canada",16,49.6566084,-112.8756502
"1 MT RUNDLE WY, LETHBRIDGE, AB, Canada",17,49.6576456,-112.8725865
"1 MT SUNDANCE RD, LETHBRIDGE, AB, Canada",5,49.6514237,-112.8714389
"1 MT SUNDIAL CT, LETHBRIDGE, AB, Canada",4,49.6514945,-112.8758903
"1 NEBRASKA RD, LETHBRIDGE, AB, Canada",15,49.67563149999999,-112.8794196
"1 NEVADA PL, LETHBRIDGE, AB, Canada",3,49.6784447,-112.8790064
"1 NEVADA RD, LETHBRIDGE, AB, Canada",1,49.6779458,-112.8780583
"1 NISKA PL, LETHBRIDGE, AB, Canada",2,49.6862293,-112.8941888
"1 NORTHLANDER LN, LETHBRIDGE, AB, Canada",2,49.6857195,-112.9205011
"1 NORTHLANDER RD, LETHBRIDGE, AB, Canada",3,49.686386,-112.915851
"1 NORTHLANDER WY, LETHBRIDGE, AB, Canada",24,49.686127,-112.9175189
"1 OJIBWA RD, LETHBRIDGE, AB, Canada",13,49.6804882,-112.8892007
"1 ORIOLE RD, LETHBRIDGE, AB, Canada",4,49.7245493,-112.8075505
"1 OXFORD PL, LETHBRIDGE, AB, Canada",2,49.6689648,-112.8890115
"1 OXFORD RD, LETHBRIDGE, AB, Canada",14,49.66883079999999,-112.8897367
"1 PARK MEADOWS BD, LETHBRIDGE, AB, Canada",36,49.72102599999999,-112.8102616
"1 PEENAQUIM VW, LETHBRIDGE, AB, Canada",3,49.6885645,-112.8456777
"1 PEIGAN CT, LETHBRIDGE, AB, Canada",33,49.6844409,-112.899464
"1 PENSACOLA CT, LETHBRIDGE, AB, Canada",11,49.6756999,-112.8869313
"1 PHEASANT RD, LETHBRIDGE, AB, Canada",5,49.7262188,-112.8061555
"1 PRIMROSE PL, LETHBRIDGE, AB, Canada",5,49.720774,-112.8084711
"1 PRINCETON CR, LETHBRIDGE, AB, Canada",18,49.6743187,-112.8917892
"1 PRINCETON RD, LETHBRIDGE, AB, Canada",38,49.6744415,-112.8934121
"1 PURDUE CT, LETHBRIDGE, AB, Canada",82,49.6749806,-112.8909804
"1 QUEENS RD, LETHBRIDGE, AB, Canada",4,49.667963,-112.8754629
"1 RED CROW BD, LETHBRIDGE, AB, Canada",27,49.6808795,-112.888116
"1 RIDGEWOOD BD, LETHBRIDGE, AB, Canada",5,49.6874473,-112.8786105
"1 RIDGEWOOD CR, LETHBRIDGE, AB, Canada",9,49.6874473,-112.8786105
"1 RIVERBOTTOM RD, LETHBRIDGE, AB, Canada",3,49.6885645,-112.8456777
"1 RIVERBROOK CL, LETHBRIDGE, AB, Canada",3,49.66035,-112.8691873
"1 RIVERCREST CT, LETHBRIDGE, AB, Canada",4,49.6587081,-112.8673053
"1 RIVERFORD CL, LETHBRIDGE, AB, Canada",9,49.6559023,-112.8670303
"1 RIVERGLEN LK, LETHBRIDGE, AB, Canada",5,49.6956181,-112.8451067
"1 RIVERGREEN RD, LETHBRIDGE, AB, Canada",12,49.6635606,-112.8643023
