address,lat,lng,incidentCount
"1900 13 ST, LETHBRIDGE, AB, Canada",49.7218336,-112.8244352,61
"300 7 ST, LETHBRIDGE, AB, Canada",49.69548409999999,-112.8370873,61
"1100 2A AV, LETHBRIDGE, AB, Canada",49.7017274,-112.831368,60
"400 20 ST, LETHBRIDGE, AB, Canada",49.70385640000001,-112.8134108,59
"500 12 ST, LETHBRIDGE, AB, Canada",49.7058532,-112.8302428,59
"2400 13 ST, LETHBRIDGE, AB, Canada",49.7256237,-112.8244598,59
"300 1 AV, LETHBRIDGE, AB, Canada",49.697447,-112.8435665,58
"1200 10 AV, LETHBRIDGE, AB, Canada",49.71386280000001,-112.8297147,57
"900 5 AV, LETHBRIDGE, AB, Canada",49.70537789999999,-112.8333892,57
"1 MEADOWLARK BD, LETHBRIDGE, AB, Canada",49.7243657,-112.8095825,57
"1 LEMOYNE CR, LETHBRIDGE, AB, Canada",49.6757549,-112.882456,57
"2000 9 AV, LETHBRIDGE, AB, Canada",49.6863914,-112.8126592,56
"3200 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.6600477,-112.7957476,55
"300 HIGHLANDS BD, LETHBRIDGE, AB, Canada",49.6972807,-112.8983172,55
"2000 2 AV, LETHBRIDGE, AB, Canada",49.7007473,-112.8127523,55
"2300 23 ST, LETHBRIDGE, AB, Canada",49.7248588,-112.8108173,54
"300 18 ST, LETHBRIDGE, AB, Canada",49.7025911,-112.8169603,54
"400 10 ST, LETHBRIDGE, AB, Canada",49.7042655,-112.8328759,53
"700 HERITAGE BD, LETHBRIDGE, AB, Canada",49.6967924,-112.8876378,53
"900 12A ST, LETHBRIDGE, AB, Canada",49.71329799999999,-112.8287696,53
"3400 PARKSIDE DR, LETHBRIDGE, AB, Canada",49.683394,-112.791126,53
"1 EAGLE RD, LETHBRIDGE, AB, Canada",49.72538249999999,-112.8080786,53
"500 16 ST, LETHBRIDGE, AB, Canada",49.70597009999999,-112.8201606,50
"200 MCMASTER BD, LETHBRIDGE, AB, Canada",49.6761451,-112.8850736,50
"1500 ST FRANCIS RD, LETHBRIDGE, AB, Canada",49.7201184,-112.831042,49
"600 11 ST, LETHBRIDGE, AB, Canada",49.69139089999999,-112.8302995,49
"300 BLUEFOX BD, LETHBRIDGE, AB, Canada",49.72922399999999,-112.8117718,49
"1 RUTGERS CR, LETHBRIDGE, AB, Canada",49.6718875,-112.8935578,49
"800 4 ST, LETHBRIDGE, AB, Canada",49.68664829999999,-112.8408967,49
"1500 9 AV, LETHBRIDGE, AB, Canada",49.6866834,-112.8208432,48
"1 AV & STAFFORD DR, LETHBRIDGE, AB, Canada",49.698149,-112.8340882,48
"2400 FAIRWAY PLAZA RD, LETHBRIDGE, AB, Canada",49.6684315,-112.7947067,48
