ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
P23009722,"03/02/2023, 4:58:01 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,700 Block 4 AV,DRIVING UNDER THE INFLUENCE (IMPAIRED DRIVING),Quality of Life,DRIVING UNDER THE INFLUENCE (IMPAIRED DRIVING)
P23009723,"03/02/2023, 5:15:16 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,100 Block COLUMBIA BD,TRESPASSING/UNWANTED,Quality of Life,TRESPASSING/UNWANTED
P23009724,"03/02/2023, 5:17:01 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,UNKNOWN STREET,MISSING/RUNAWAY/FOUND PERSON,Other,MISSING/RUNAWAY/FOUND PERSON
P23009725,"03/02/2023, 5:32:25 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,1100 Block 5 AV,SUPPLEMENTAL,Other,SUPPLEMENTAL
P23009726,"03/02/2023, 5:41:59 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,1000 Block 9 AV,PUBLIC SERVICE,Other,PUBLIC SERVICE
CA23004738,"03/02/2023, 3:14:00 PM","03/03/2023, 5:46:28 AM",LETHBRIDGE,AB,.,1100 Block 5 AV, RMS] TSA - Traffic Safety Act,Traffic,TSA - Traffic Safety Act
CA23004616,"02/28/2023, 11:43:00 PM","03/03/2023, 5:46:18 AM",LETHBRIDGE,AB,.,1200 Block 2A AV, RMS] Provincial Trespass Act,Other,Provincial Trespass Act
AR23100098,"02/26/2023, 8:00:00 PM","03/03/2023, 5:46:09 AM",LETHBRIDGE,AB,.,1 Block AV & 26 ST, RMS] Lost Property,Other,Lost Property
RM23051189,"03/02/2023, 5:32:00 PM","03/03/2023, 5:46:31 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] FOIP - Personal,Other,FOIP - Personal
CA23004681,"03/01/2023, 11:17:00 PM","03/03/2023, 5:46:25 AM",LETHBRIDGE,AB,.,100 Block SUNRIDGE RD, RMS] Traffic Complaint General,Traffic,Traffic Complaint General
RM23051186,"03/02/2023, 3:54:00 PM","03/03/2023, 5:46:31 AM",LETHBRIDGE,AB,.,400 Block 5 ST, RMS] Lost Property,Other,Lost Property
CA23004731,"03/02/2023, 12:08:00 PM","03/03/2023, 5:46:28 AM",LETHBRIDGE,AB,.,300 Block 5 ST, RMS] False Alarm,Other,False Alarm
CA23004734,"03/02/2023, 2:06:00 PM","03/03/2023, 5:46:28 AM",LETHBRIDGE,AB,.,300 Block 4 ST, RMS] Other Drugs - Possession,Quality of Life,Other Drugs - Possession
CA23004735,"03/02/2023, 1:42:00 PM","03/03/2023, 5:46:28 AM",LETHBRIDGE,AB,.,200 Block 3 AV, RMS] Theft Of Bike Under,Theft,Theft Of Bike Under
RM23051185,"03/01/2023, 7:45:00 PM","03/03/2023, 5:46:31 AM",LETHBRIDGE,AB,.,1600 Block 15 AV, RMS] Student Threat Assessment (VTRA),Other,Student Threat Assessment (VTRA)
RM23051188,"03/02/2023, 4:36:00 PM","03/03/2023, 5:46:31 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] FOIP - Personal,Other,FOIP - Personal
RM23051187,"03/02/2023, 3:56:00 PM","03/03/2023, 5:46:31 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] FOIP - Personal,Other,FOIP - Personal
P23009713,"03/02/2023, 3:56:56 PM","03/03/2023, 5:45:30 AM",LETHBRIDGE,AB,.,2500 Block 7 AV,DRUGS,Quality of Life,DRUGS
P23009714,"03/02/2023, 3:59:56 PM","03/03/2023, 5:45:30 AM",LETHBRIDGE,AB,.,200 Block 4 AV,DAMAGE/VANDALISM/MISCHIEF,Quality of Life,DAMAGE/VANDALISM/MISCHIEF
P23009715,"03/02/2023, 4:12:08 PM","03/03/2023, 5:45:30 AM",LETHBRIDGE,AB,.,1100 Block HENDERSON LAKE BD,"SUSPICIOUS/WANTED (PERSON, CIRCUMSTANCES, VEHICLE)",Proactive Policing,"SUSPICIOUS/WANTED (PERSON, CIRCUMSTANCES, VEHICLE)"
