ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
P22054102,"11/16/2022, 9:43:56 PM","11/17/2022, 7:34:56 AM",LETHBRIDGE,AB,.,100 Block TARTAN CI,TRESPASSING/UNWANTED,Quality of Life,TRESPASSING/UNWANTED
P22054103,"11/16/2022, 9:54:41 PM","11/17/2022, 7:34:56 AM",LETHBRIDGE,AB,.,800 Block 5 AV,PUBLIC SERVICE,Other,PUBLIC SERVICE
P22054104,"11/16/2022, 10:05:24 PM","11/17/2022, 7:34:56 AM",LETHBRIDGE,AB,.,200 Block 13 ST,PUBLIC SERVICE,Other,PUBLIC SERVICE
P22054105,"11/16/2022, 10:13:31 PM","11/17/2022, 7:34:56 AM",LETHBRIDGE,AB,.,700 Block 6 AV,PUBLIC SERVICE,Other,PUBLIC SERVICE
P22054094,"11/16/2022, 8:32:49 PM","11/17/2022, 7:34:55 AM",LETHBRIDGE,AB,.,900 Block 2A AV,SUBJECT STOP,Proactive Policing,SUBJECT STOP
P22054095,"11/16/2022, 8:33:25 PM","11/17/2022, 7:34:55 AM",LETHBRIDGE,AB,.,3500 Block MAYOR MAGRATH DR,THEFT (LARCENY),Theft,THEFT (LARCENY)
P22054097,"11/16/2022, 9:12:32 PM","11/17/2022, 7:34:55 AM",LETHBRIDGE,AB,.,UNKNOWN STREET,TRAFFIC VIOLATION/COMPLAINT/HAZARD,Proactive Policing,TRAFFIC VIOLATION/COMPLAINT/HAZARD
P22054098,"11/16/2022, 9:16:50 PM","11/17/2022, 7:34:55 AM",LETHBRIDGE,AB,.,2400 Block 6 AV,SUBJECT STOP,Proactive Policing,SUBJECT STOP
P22054099,"11/16/2022, 9:30:17 PM","11/17/2022, 7:34:56 AM",LETHBRIDGE,AB,.,300 Block 5 ST,"SUSPICIOUS/WANTED (PERSON, CIRCUMSTANCES, VEHICLE)",Proactive Policing,"SUSPICIOUS/WANTED (PERSON, CIRCUMSTANCES, VEHICLE)"
P22054083,"11/16/2022, 7:40:08 PM","11/17/2022, 7:34:53 AM",LETHBRIDGE,AB,.,200 Block 10 ST,PUBLIC SERVICE,Other,PUBLIC SERVICE
P22054084,"11/16/2022, 7:49:29 PM","11/17/2022, 7:34:54 AM",LETHBRIDGE,AB,.,UNKNOWN STREET,TRAFFIC/TRANSPORTATION INCIDENT (CRASH),Other,TRAFFIC/TRANSPORTATION INCIDENT (CRASH)
P22054085,"11/16/2022, 7:49:32 PM","11/17/2022, 7:34:54 AM",LETHBRIDGE,AB,.,1200 Block 2A AV,TRESPASSING/UNWANTED,Quality of Life,TRESPASSING/UNWANTED
P22054086,"11/16/2022, 7:49:46 PM","11/17/2022, 7:34:54 AM",LETHBRIDGE,AB,.,400 Block STAFFORD DR,PUBLIC SERVICE,Other,PUBLIC SERVICE
P22054087,"11/16/2022, 7:50:11 PM","11/17/2022, 7:34:54 AM",LETHBRIDGE,AB,.,1600 Block 43 ST,TRAFFIC STOP,Proactive Policing,TRAFFIC STOP
P22054088,"11/16/2022, 8:02:07 PM","11/17/2022, 7:34:54 AM",LETHBRIDGE,AB,.,3200 Block 28 ST,TRAFFIC VIOLATION/COMPLAINT/HAZARD,Proactive Policing,TRAFFIC VIOLATION/COMPLAINT/HAZARD
P22054089,"11/16/2022, 8:04:23 PM","11/17/2022, 7:34:54 AM",LETHBRIDGE,AB,.,1100 Block 5 AV,"PUBLIC SERVICE (LOCK-OUT/LOCK-IN, PEACE, WELFARE, RECKLESS ACTIVITY)",Other,"PUBLIC SERVICE (LOCK-OUT/LOCK-IN, PEACE, WELFARE, RECKLESS ACTIVITY)"
P22054092,"11/16/2022, 8:22:24 PM","11/17/2022, 7:34:55 AM",LETHBRIDGE,AB,.,1000 Block 27A ST,TRAFFIC STOP,Proactive Policing,TRAFFIC STOP
P22054093,"11/16/2022, 8:26:42 PM","11/17/2022, 7:34:55 AM",LETHBRIDGE,AB,.,3500 Block MAYOR MAGRATH DR,TRAFFIC STOP,Proactive Policing,TRAFFIC STOP
P22054070,"11/16/2022, 6:43:37 PM","11/17/2022, 7:35:31 AM",LETHBRIDGE,AB,.,1700 Block MAYOR MAGRATH DR,TRAFFIC STOP,Proactive Policing,TRAFFIC STOP
P22054071,"11/16/2022, 6:44:27 PM","11/17/2022, 7:35:31 AM",LETHBRIDGE,AB,.,UNKNOWN STREET,"SUSPICIOUS/WANTED (PERSON, CIRCUMSTANCES, VEHICLE)",Proactive Policing,"SUSPICIOUS/WANTED (PERSON, CIRCUMSTANCES, VEHICLE)"
P22054072,"11/16/2022, 6:51:33 PM","11/17/2022, 7:35:31 AM",LETHBRIDGE,AB,.,500 Block 1 ST,PUBLIC SERVICE,Other,PUBLIC SERVICE
P22054073,"11/16/2022, 6:57:17 PM","11/17/2022, 7:35:32 AM",LETHBRIDGE,AB,.,100 Block SUNRIDGE RD,THEFT (LARCENY),Theft,THEFT (LARCENY)
P22054074,"11/16/2022, 7:01:02 PM","11/17/2022, 7:35:32 AM",LETHBRIDGE,AB,.,200 Block 13 ST,TRAFFIC STOP,Proactive Policing,TRAFFIC STOP
P22054075,"11/16/2022, 7:06:20 PM","11/17/2022, 7:35:32 AM",LETHBRIDGE,AB,.,4100 Block 6 AV,TRAFFIC STOP,Proactive Policing,TRAFFIC STOP
